,drug_name,drug_name_full,rxcui,drug_class
7,desvenlafaxine,24 HR desvenlafaxine succinate 50 MG Extended Release Oral Tablet,1874559,snri
8,desvenlafaxine,24 HR desvenlafaxine 100 MG Extended Release Oral Tablet,790264,snri
9,desvenlafaxine,24 HR desvenlafaxine 50 MG Extended Release Oral Tablet,790288,snri
10,desvenlafaxine,desvenlafaxine 100 MG Oral Tablet,803408,snri
11,desvenlafaxine,desvenlafaxine 50 MG Oral Tablet,803409,snri
0,duloxetine,duloxetine 40 MG Delayed Release Oral Capsule [Irenka],1652069,snri
1,duloxetine,Sprinkle duloxetine 20 MG Delayed Release Oral Capsule [Drizalma],2200174,snri
2,duloxetine,Sprinkle duloxetine 30 MG Delayed Release Oral Capsule [Drizalma],2200177,snri
3,duloxetine,Sprinkle duloxetine 40 MG Delayed Release Oral Capsule [Drizalma],2200180,snri
4,duloxetine,Sprinkle duloxetine 60 MG Delayed Release Oral Capsule [Drizalma],2200183,snri
5,duloxetine,duloxetine 20 MG Delayed Release Oral Capsule [Cymbalta],596928,snri
6,duloxetine,duloxetine 30 MG Delayed Release Oral Capsule [Cymbalta],596932,snri
7,duloxetine,duloxetine 60 MG Delayed Release Oral Capsule [Cymbalta],615186,snri
8,duloxetine,Sprinkle duloxetine 20 MG Delayed Release Oral Capsule,2200168,snri
9,duloxetine,Sprinkle duloxetine 30 MG Delayed Release Oral Capsule,2200175,snri
10,duloxetine,Sprinkle duloxetine 40 MG Delayed Release Oral Capsule,2200178,snri
11,duloxetine,Sprinkle duloxetine 60 MG Delayed Release Oral Capsule,2200181,snri
12,duloxetine,duloxetine 20 MG Delayed Release Oral Capsule,596926,snri
13,duloxetine,duloxetine 30 MG Delayed Release Oral Capsule,596930,snri
14,duloxetine,duloxetine 60 MG Delayed Release Oral Capsule,596934,snri
15,duloxetine,duloxetine 40 MG Delayed Release Oral Capsule,616402,snri
0,venlafaxine,venlafaxine 50 MG Oral Tablet [Effexor],208851,snri
1,venlafaxine,24 HR venlafaxine 75 MG Extended Release Oral Capsule [Effexor],729929,snri
2,venlafaxine,24 HR venlafaxine 150 MG Extended Release Oral Capsule [Effexor],729931,snri
3,venlafaxine,24 HR venlafaxine 37.5 MG Extended Release Oral Capsule [Effexor],729932,snri
4,venlafaxine,24 HR venlafaxine 112.5 MG Extended Release Oral Tablet,2605950,snri
5,venlafaxine,venlafaxine 100 MG Oral Tablet,313580,snri
6,venlafaxine,24 HR venlafaxine 150 MG Extended Release Oral Capsule,313581,snri
7,venlafaxine,venlafaxine 25 MG Oral Tablet,313582,snri
8,venlafaxine,24 HR venlafaxine 37.5 MG Extended Release Oral Capsule,313583,snri
9,venlafaxine,venlafaxine 37.5 MG Oral Tablet,313584,snri
10,venlafaxine,24 HR venlafaxine 75 MG Extended Release Oral Capsule,313585,snri
11,venlafaxine,venlafaxine 75 MG Oral Tablet,313586,snri
12,venlafaxine,venlafaxine 50 MG Oral Tablet,314277,snri
13,venlafaxine,24 HR venlafaxine 150 MG Extended Release Oral Tablet,808744,snri
14,venlafaxine,24 HR venlafaxine 225 MG Extended Release Oral Tablet,808748,snri
15,venlafaxine,24 HR venlafaxine 37.5 MG Extended Release Oral Tablet,808751,snri
16,venlafaxine,24 HR venlafaxine 75 MG Extended Release Oral Tablet,808753,snri
0,amitriptyline,amitriptyline hydrochloride 25 MG Oral Tablet [Elavil],856836,tca
1,amitriptyline,amitriptyline hydrochloride 10 MG / perphenazine 2 MG Oral Tablet,856706,tca
2,amitriptyline,amitriptyline hydrochloride 10 MG / perphenazine 4 MG Oral Tablet,856720,tca
3,amitriptyline,amitriptyline hydrochloride 100 MG Oral Tablet,856762,tca
4,amitriptyline,amitriptyline hydrochloride 12.5 MG / chlordiazepoxide 5 MG Oral Tablet,856769,tca
5,amitriptyline,amitriptyline hydrochloride 150 MG Oral Tablet,856773,tca
6,amitriptyline,amitriptyline hydrochloride 10 MG Oral Tablet,856783,tca
7,amitriptyline,amitriptyline hydrochloride 25 MG / chlordiazepoxide 10 MG Oral Tablet,856792,tca
8,amitriptyline,amitriptyline hydrochloride 25 MG / perphenazine 2 MG Oral Tablet,856797,tca
9,amitriptyline,amitriptyline hydrochloride 25 MG / perphenazine 4 MG Oral Tablet,856825,tca
10,amitriptyline,amitriptyline hydrochloride 25 MG Oral Tablet,856834,tca
11,amitriptyline,amitriptyline hydrochloride 50 MG / perphenazine 4 MG Oral Tablet,856840,tca
12,amitriptyline,amitriptyline hydrochloride 50 MG Oral Tablet,856845,tca
13,amitriptyline,amitriptyline hydrochloride 75 MG Oral Tablet,856853,tca
14,amitriptyline,amitriptyline hydrochloride 10 MG/ML Oral Solution,856862,tca
15,amitriptyline,amitriptyline hydrochloride 12.5 MG / chlordiazepoxide 10 MG Oral Tablet,856863,tca
16,amitriptyline,amitriptyline hydrochloride 25 MG Extended Release Oral Capsule,856865,tca
17,amitriptyline,amitriptyline hydrochloride 5 MG/ML Oral Solution,856867,tca
18,amitriptyline,amitriptyline hydrochloride 50 MG Extended Release Oral Capsule,856868,tca
0,desipramine,desipramine hydrochloride 10 MG Oral Tablet [Norpramin],1099290,tca
1,desipramine,desipramine hydrochloride 100 MG Oral Tablet [Norpramin],1099294,tca
2,desipramine,desipramine hydrochloride 150 MG Oral Tablet [Norpramin],1099298,tca
3,desipramine,desipramine hydrochloride 25 MG Oral Tablet [Norpramin],1099302,tca
4,desipramine,desipramine hydrochloride 50 MG Oral Tablet [Norpramin],1099306,tca
5,desipramine,desipramine hydrochloride 75 MG Oral Tablet [Norpramin],1099318,tca
6,desipramine,desipramine hydrochloride 10 MG Oral Tablet,1099288,tca
7,desipramine,desipramine hydrochloride 100 MG Oral Tablet,1099292,tca
8,desipramine,desipramine hydrochloride 150 MG Oral Tablet,1099296,tca
9,desipramine,desipramine hydrochloride 25 MG Oral Tablet,1099300,tca
10,desipramine,desipramine hydrochloride 50 MG Oral Tablet,1099304,tca
11,desipramine,desipramine hydrochloride 75 MG Oral Tablet,1099316,tca
0,doxepin,doxepin hydrochloride 50 MG/ML Topical Cream [Prudoxin],1000093,tca
1,doxepin,doxepin hydrochloride 50 MG/ML Topical Cream [Zonalon],1000095,tca
2,doxepin,doxepin 3 MG Oral Tablet [Silenor],966791,tca
3,doxepin,doxepin 6 MG Oral Tablet [Silenor],966795,tca
4,doxepin,doxepin 10 MG Oral Capsule,1000048,tca
5,doxepin,doxepin 10 MG/ML Oral Solution,1000054,tca
6,doxepin,doxepin 100 MG Oral Capsule,1000058,tca
7,doxepin,doxepin 150 MG Oral Capsule,1000064,tca
8,doxepin,doxepin 25 MG Oral Capsule,1000070,tca
9,doxepin,doxepin 50 MG Oral Capsule,1000076,tca
10,doxepin,doxepin hydrochloride 50 MG/ML Topical Cream,1000091,tca
11,doxepin,doxepin 75 MG Oral Capsule,1000097,tca
12,doxepin,doxepin 3 MG Oral Tablet,966787,tca
13,doxepin,doxepin 6 MG Oral Tablet,966793,tca
0,nortriptyline,nortriptyline 10 MG Oral Capsule [Pamelor],209329,tca
1,nortriptyline,nortriptyline 25 MG Oral Capsule [Pamelor],209339,tca
2,nortriptyline,nortriptyline 50 MG Oral Capsule [Pamelor],209350,tca
3,nortriptyline,nortriptyline 75 MG Oral Capsule [Pamelor],209391,tca
4,nortriptyline,nortriptyline 10 MG Oral Capsule,198045,tca
5,nortriptyline,nortriptyline 50 MG Oral Capsule,198046,tca
6,nortriptyline,nortriptyline 75 MG Oral Capsule,198047,tca
7,nortriptyline,nortriptyline 10 MG Oral Tablet,199283,tca
8,nortriptyline,nortriptyline 25 MG Oral Tablet,199406,tca
9,nortriptyline,nortriptyline 2 MG/ML Oral Solution,312036,tca
10,nortriptyline,nortriptyline 25 MG Oral Capsule,317136,tca
11,nortriptyline,fluphenazine hydrochloride 0.5 MG / nortriptyline 10 MG Oral Tablet,865143,tca
12,nortriptyline,fluphenazine hydrochloride 1.5 MG / nortriptyline 30 MG Oral Tablet,865146,tca
0,trimipramine,trimipramine 25 MG Oral Tablet,199820,tca
1,trimipramine,trimipramine 10 MG Oral Tablet,250033,tca
2,trimipramine,trimipramine 100 MG Oral Capsule,313496,tca
3,trimipramine,trimipramine 25 MG Oral Capsule,313498,tca
4,trimipramine,trimipramine 50 MG Oral Capsule,313499,tca
0,imipramine,imipramine hydrochloride 25 MG Oral Tablet,835564,tca
1,imipramine,imipramine hydrochloride 50 MG Oral Tablet,835568,tca
2,imipramine,imipramine pamoate 75 MG Oral Capsule,835572,tca
3,imipramine,imipramine pamoate 150 MG Oral Capsule,835577,tca
4,imipramine,imipramine hydrochloride 5 MG/ML Oral Solution,835586,tca
5,imipramine,imipramine pamoate 125 MG Oral Capsule,835589,tca
6,imipramine,imipramine pamoate 100 MG Oral Capsule,835591,tca
7,imipramine,imipramine hydrochloride 10 MG Oral Tablet,835593,tca
0,tranylcypromine,tranylcypromine 10 MG Oral Tablet [Parnate],104838,maoi
1,tranylcypromine,tranylcypromine 10 MG Oral Tablet,313447,maoi
0,phenelzine,phenelzine 15 MG Oral Tablet [Nardil],104836,maoi
1,phenelzine,phenelzine 15 MG Oral Tablet,312347,maoi
0,selegiline,selegiline hydrochloride 5 MG Oral Capsule [Eldepryl],859188,maoi
1,selegiline,selegiline hydrochloride 1.25 MG Disintegrating Oral Tablet [Zelapar],859192,maoi
2,selegiline,24 HR selegiline 0.25 MG/HR Transdermal System [Emsam],865208,maoi
3,selegiline,24 HR selegiline 0.375 MG/HR Transdermal System [Emsam],865212,maoi
4,selegiline,24 HR selegiline 0.5 MG/HR Transdermal System [Emsam],865216,maoi
5,selegiline,selegiline hydrochloride 15 MG Oral Tablet [Anipryl],880387,maoi
6,selegiline,selegiline hydrochloride 5 MG Oral Tablet [Anipryl],897065,maoi
7,selegiline,selegiline hydrochloride 10 MG Oral Tablet [Anipryl],897067,maoi
8,selegiline,selegiline hydrochloride 30 MG Oral Tablet [Anipryl],897071,maoi
9,selegiline,selegiline hydrochloride 5 MG Oral Capsule,859186,maoi
10,selegiline,selegiline hydrochloride 1.25 MG Disintegrating Oral Tablet,859190,maoi
11,selegiline,selegiline hydrochloride 5 MG Oral Tablet,859193,maoi
12,selegiline,24 HR selegiline 0.25 MG/HR Transdermal System,865206,maoi
13,selegiline,24 HR selegiline 0.375 MG/HR Transdermal System,865210,maoi
14,selegiline,24 HR selegiline 0.5 MG/HR Transdermal System,865214,maoi
15,selegiline,selegiline hydrochloride 1.25 MG Oral Tablet,865218,maoi
16,selegiline,selegiline hydrochloride 10 MG Oral Tablet,865220,maoi
17,selegiline,selegiline hydrochloride 2 MG/ML Oral Solution,865222,maoi
18,selegiline,selegiline hydrochloride 15 MG Oral Tablet,880383,maoi
19,selegiline,selegiline hydrochloride 30 MG Oral Tablet,897069,maoi
0,bupropion,24 HR bupropion hydrochloride 450 MG Extended Release Oral Tablet [Forfivo],1232591,atypical
1,bupropion,12 HR bupropion hydrochloride 90 MG / naltrexone hydrochloride 8 MG Extended Release Oral Tablet [Contrave],1551474,atypical
2,bupropion,bupropion hydrochloride 105 MG / dextromethorphan hydrobromide 45 MG Extended Release Oral Tablet [Auvelity],2611266,atypical
3,bupropion,12 HR bupropion hydrochloride 100 MG Extended Release Oral Tablet [Wellbutrin],993511,atypical
4,bupropion,12 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet [Wellbutrin],993528,atypical
5,bupropion,12 HR bupropion hydrochloride 200 MG Extended Release Oral Tablet [Wellbutrin],993537,atypical
6,bupropion,24 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet [Wellbutrin],993545,atypical
7,bupropion,24 HR bupropion hydrobromide 174 MG Extended Release Oral Tablet [Aplenzin],993552,atypical
8,bupropion,24 HR bupropion hydrochloride 300 MG Extended Release Oral Tablet [Wellbutrin],993564,atypical
9,bupropion,24 HR bupropion hydrobromide 348 MG Extended Release Oral Tablet [Aplenzin],993569,atypical
10,bupropion,24 HR bupropion hydrobromide 522 MG Extended Release Oral Tablet [Aplenzin],993683,atypical
11,bupropion,bupropion hydrochloride 100 MG Oral Tablet [Wellbutrin],993688,atypical
12,bupropion,24 HR bupropion hydrochloride 450 MG Extended Release Oral Tablet,1232585,atypical
13,bupropion,12 HR bupropion hydrochloride 90 MG / naltrexone hydrochloride 8 MG Extended Release Oral Tablet,1551468,atypical
14,bupropion,Smoking Cessation 12 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet,1801289,atypical
15,bupropion,bupropion hydrochloride 105 MG / dextromethorphan hydrobromide 45 MG Extended Release Oral Tablet,2611260,atypical
16,bupropion,12 HR bupropion hydrochloride 100 MG Extended Release Oral Tablet,993503,atypical
17,bupropion,12 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet,993518,atypical
18,bupropion,12 HR bupropion hydrochloride 200 MG Extended Release Oral Tablet,993536,atypical
19,bupropion,24 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet,993541,atypical
20,bupropion,24 HR bupropion hydrobromide 174 MG Extended Release Oral Tablet,993550,atypical
21,bupropion,24 HR bupropion hydrochloride 300 MG Extended Release Oral Tablet,993557,atypical
22,bupropion,24 HR bupropion hydrobromide 348 MG Extended Release Oral Tablet,993567,atypical
23,bupropion,24 HR bupropion hydrobromide 522 MG Extended Release Oral Tablet,993681,atypical
24,bupropion,bupropion hydrochloride 100 MG Oral Tablet,993687,atypical
25,bupropion,bupropion hydrochloride 75 MG Oral Tablet,993691,atypical
0,mirtazapine,mirtazapine 0.02 MG/MG Topical Ointment [Mirataz],2049256,atypical
1,mirtazapine,mirtazapine 15 MG Oral Tablet [Remeron],211322,atypical
2,mirtazapine,mirtazapine 30 MG Oral Tablet [Remeron],211323,atypical
3,mirtazapine,mirtazapine 15 MG Disintegrating Oral Tablet [Remeron],752869,atypical
4,mirtazapine,mirtazapine 30 MG Disintegrating Oral Tablet [Remeron],752870,atypical
5,mirtazapine,mirtazapine 45 MG Disintegrating Oral Tablet [Remeron],752871,atypical
6,mirtazapine,mirtazapine 0.02 MG/MG Topical Ointment,2049251,atypical
7,mirtazapine,mirtazapine 15 MG Disintegrating Oral Tablet,283406,atypical
8,mirtazapine,mirtazapine 30 MG Disintegrating Oral Tablet,283407,atypical
9,mirtazapine,mirtazapine 45 MG Disintegrating Oral Tablet,283485,atypical
10,mirtazapine,mirtazapine 15 MG Oral Tablet,311725,atypical
11,mirtazapine,mirtazapine 45 MG Oral Tablet,311726,atypical
12,mirtazapine,mirtazapine 30 MG Oral Tablet,314111,atypical
13,mirtazapine,mirtazapine 7.5 MG Oral Tablet,476809,atypical
0,nefazodone,nefazodone hydrochloride 100 MG Oral Tablet,1098649,atypical
1,nefazodone,nefazodone hydrochloride 150 MG Oral Tablet,1098666,atypical
2,nefazodone,nefazodone hydrochloride 200 MG Oral Tablet,1098670,atypical
3,nefazodone,nefazodone hydrochloride 250 MG Oral Tablet,1098674,atypical
4,nefazodone,nefazodone hydrochloride 50 MG Oral Tablet,1098678,atypical
5,nefazodone,nefazodone hydrochloride 300 MG Oral Tablet,1098710,atypical
0,trazodone,24 HR trazodone hydrochloride 150 MG Extended Release Oral Tablet [Oleptro],898701,atypical
1,trazodone,24 HR trazodone hydrochloride 300 MG Extended Release Oral Tablet [Oleptro],898706,atypical
2,trazodone,trazodone hydrochloride 150 MG Oral Tablet,856364,atypical
3,trazodone,trazodone hydrochloride 300 MG Oral Tablet,856369,atypical
4,trazodone,trazodone hydrochloride 100 MG Oral Tablet,856373,atypical
5,trazodone,trazodone hydrochloride 50 MG Oral Tablet,856377,atypical
6,trazodone,trazodone hydrochloride 10 MG/ML Oral Solution,856381,atypical
7,trazodone,trazodone hydrochloride 100 MG Oral Capsule,856382,atypical
8,trazodone,trazodone hydrochloride 50 MG Oral Capsule,856383,atypical
9,trazodone,24 HR trazodone hydrochloride 150 MG Extended Release Oral Tablet,898697,atypical
10,trazodone,24 HR trazodone hydrochloride 300 MG Extended Release Oral Tablet,898704,atypical
0,vortioxetine,vortioxetine 10 MG Oral Tablet [Trintellix],1790886,atypical
1,vortioxetine,vortioxetine 20 MG Oral Tablet [Trintellix],1790890,atypical
2,vortioxetine,vortioxetine 5 MG Oral Tablet [Trintellix],1790892,atypical
3,vortioxetine,vortioxetine 10 MG Oral Tablet,1439808,atypical
4,vortioxetine,vortioxetine 20 MG Oral Tablet,1439810,atypical
5,vortioxetine,vortioxetine 5 MG Oral Tablet,1439812,atypical
6,vortioxetine,vortioxetine 15 MG Oral Tablet,1439840,atypical
